name,category,description,price
Керамогранит «Гранит-50»,плитка,Керамогранит для пола 60x60 см матовый,морозостойкий,1100
Плитка «Керама-Белый»,плитка,Настенная керамическая плитка 25x40 см,белая глянцевая,780
Мозаика «Стекло-М»,плитка,Стеклянная мозаика для фартука кухни,сетка 30x30,2900
Краска «Люкс-Интерьер»,краска,Интерьерная водно-дисперсионная краска,матовая,мытье,450
Краска «Фасад-Про»,краска,Фасадная краска для наружных работ,атмосферостойкая,620
Ламинат «Дуб-Прованс»,ламинат,Ламинат 32 класс,толщина 8 мм,подложка,890
Плитка ПВХ «Кварц-Вин»,ламинат,Кварцвиниловая плитка для пола,водостойкая,1350
Штукатурка «Ротбанд-М»,штукатурка,Гипсовая штукатурка для стен,30 кг,380
Шпаклёвка «Ветонит-ЛР»,шпаклёвка,Финишная шпаклёвка,полимерная,20 кг,520
Грунтовка «Бетонконтакт-П»,грунтовка,Грунтовка для бетонных оснований,10 л,700
Паркетная доска «Ясень»,паркет,Паркетная доска однослойная,14 мм,2400
Гипсокартон «Волма-ГКЛ»,гипсокартон,Гипсокартонный лист 2500x1200x12.5 мм,410
Профиль «Кнауф-ПН»,гипсокартон,Направляющий профиль 28x27,3 м,150
